timestamp,dvol,lee_mykland_jump,lee_mykland_jump_standard,T_statistic,L_statistic
2024-01-19 03:00:00,47.16,0,0,-12.525352561255485,-0.6057748209517378
2024-01-19 04:00:00,46.73,0,0,-10.16703078277886,-1.2470304640861158
2024-01-19 05:00:00,46.74,0,0,-14.645666596296333,0.02923630419968925
2024-01-19 06:00:00,46.61,0,0,-13.345425761668107,-0.38278719799574035
2024-01-19 07:00:00,46.43,0,0,-12.737661458534218,-0.5480455154302636
2024-01-19 08:00:00,46.1,0,0,-10.868613473205984,-1.0562618151817222
2024-01-19 09:00:00,46.03,0,0,-13.921137444892416,-0.22624436781229848
2024-01-19 10:00:00,45.92,0,0,-13.43900608226234,-0.3573415996829689
2024-01-19 11:00:00,46.78,0,0,-4.560125090497868,2.771614576615478
2024-01-19 12:00:00,46.61,0,0,-12.751928246047546,-0.5441662068109658
2024-01-19 13:00:00,46.92,0,0,-11.107905759305746,0.9911954064242546
2024-01-19 14:00:00,47.56,0,0,-7.338561014581367,2.0161249179664713
2024-01-19 15:00:00,47.82,0,0,-11.780627505715858,0.8082743902670125
2024-01-19 16:00:00,48.64,0,0,-5.527730054116169,2.5085113186513017
2024-01-19 17:00:00,47.72,0,0,-4.563577116669137,-2.770675929785017
2024-01-19 18:00:00,47.59,0,0,-13.298904130856998,-0.39543698080218476
2024-01-19 19:00:00,47.86,0,0,-11.736519947616179,0.8202677580908754
2024-01-19 20:00:00,48.08,0,0,-12.298440499180124,0.667474900062688
2024-01-19 21:00:00,48.12,0,0,-14.301838701017532,0.12272718408164009
2024-01-19 22:00:00,47.95,0,0,-12.82373940548839,-0.5246399014307012
2024-01-19 23:00:00,48.04,0,0,-13.727766064570035,0.27882433801997225
2024-01-20 00:00:00,47.93,0,0,-13.493995970174685,-0.3423891974022691
2024-01-20 01:00:00,47.89,0,0,-14.292341897159673,-0.12530947760967864
2024-01-20 02:00:00,47.86,0,0,-14.405859365655708,-0.09444273248110087
2024-01-20 03:00:00,47.81,0,0,-14.163799998166743,-0.1602615434646065
2024-01-20 04:00:00,47.69,0,0,-13.288793289072107,-0.39818623852035273
2024-01-20 05:00:00,47.59,0,0,-13.505328004823875,-0.3393078828703389
2024-01-20 06:00:00,47.09,0,0,-8.365570515282753,-1.7368688622882695
2024-01-20 07:00:00,46.81,0,0,-11.140907871999532,-0.9822217408314624
2024-01-20 08:00:00,46.6,0,0,-12.018621288772279,-0.7435610598772933
